"Cell.ID","Species.Richness","EN.CR.Richness","SES.Mean","SES.SD","PD.Org.Mean","PD.Org.SD","PD.NoEN.Mean","PD.NoEN.SD","PD.Rnd.Mean","PD.Rnd.SD"
"Cell.ID.24045",171,7,2.31259667689653,0.13407261201132,3515.33795225,90.3671874369487,3351.74396746,90.3404720064772,3434.82553739496,35.9568371824643
"Cell.ID.24046",157,6,2.37185086322741,0.116511666002614,3315.93779427,85.9225486981238,3161.63815008,85.8770978496856,3246.18160220991,35.6652694440542
"Cell.ID.24047",147,5,2.62559292711225,0.0887070071981839,3202.75276136,81.4545302500502,3051.26946678,81.420126673224,3139.90220047874,33.7626315975244
"Cell.ID.24048",118,4,1.91151697829712,0.0624472067203253,2905.5424115,63.3342356986935,2774.2424115,63.3342356986937,2843.83470353539,36.4097324899953
"Cell.ID.24049",107,3,2.29146509990882,0.0625911347785628,2756.04519231,59.7856761157049,2639.13519231,59.7856761157047,2709.11822271056,30.5444287184048
"Cell.ID.24050",104,3,2.24135971978932,0.0595887621227232,2732.9329544,60.3259095805126,2616.0229544,60.3259095805124,2684.84031268339,30.7059360298601
"Cell.ID.24201",147,4,-0.387514441931666,0.157591397164688,3402.20400181,85.7598804913933,3363.23912467,84.8398383794575,3353.42006217029,25.3029929041268
"Cell.ID.24202",147,4,-0.445387586493911,0.156252244390516,3477.19341383,88.1286799510062,3438.22853669,87.1757278563901,3426.8625119561,25.4877375950205
"Cell.ID.24203",121,3,0.233833630793186,0.246184173578382,3238.81029824,80.557780769173,3186.81502857,79.7244277177691,3192.74591894649,25.3571134010446
"Cell.ID.24204",91,3,-0.00719267640835578,0.230115781532648,2861.91573615,57.8477882420632,2809.92046648,56.8690413164109,2809.73519560918,26.4907062736807
"Cell.ID.24376",73,3,1.10498373693681,0.11057867110674,2240.36745754,36.0424404698832,2151.2099165,35.6076023081426,2186.63253639424,32.0722108984154
"Cell.ID.24377",76,3,1.16308731873424,0.119042588905475,2278.67287443,37.2545722798198,2189.51533339,36.8923812413909,2225.44512438557,30.9110855265646
