"Cell.ID","Species.Richness","EN.CR.Richness","SES.Mean","SES.SD","PD.Org.Mean","PD.Org.SD","PD.NoEN.Mean","PD.NoEN.SD","PD.Rnd.Mean","PD.Rnd.SD"
"Cell.ID.13101",18,4,-0.300579842298961,0.136650287104234,360.1232908,9.60857253645207,326.79202701,8.33537375656637,318.35399918953,28.0384519704928
"Cell.ID.13102",19,4,-0.260675037863669,0.169119453909022,368.67165396,11.6319857306709,335.34039017,10.6585468547175,328.58786889669,25.8566291148196
"Cell.ID.13103",19,4,-0.542999798221726,0.0906827245926649,370.09335858,14.1152999947398,336.76209479,13.3501345714425,307.96558366626,53.0503972057771
"Cell.ID.13104",18,4,-0.164465336114851,0.419298890649971,235.49335858,14.1152999947398,202.16209479,13.3501345714425,200.2844626386,10.6034173935882
"Cell.ID.13105",18,4,-0.158083466616586,0.426268944787064,235.49335858,14.1152999947398,202.16209479,13.3501345714425,200.34449552992,10.7469433052713
"Cell.ID.13106",19,4,0.0381192718580967,0.417799333227546,238.81115773,14.2961890695573,205.47989394,13.5416085489912,205.72144682129,11.0111944503183
"Cell.ID.13107",19,4,0.0800676849348685,0.431268826409334,238.81115773,14.2961890695573,205.47989394,13.5416085489912,206.16559663952,10.7183451097384
"Cell.ID.13108",19,4,0.00320064232891143,0.42373945498524,238.81115773,14.2961890695573,205.47989394,13.5416085489912,205.3376474082,10.614293453925
"Cell.ID.13109",19,4,0.049393760955504,0.421174869959616,238.81115773,14.2961890695573,205.47989394,13.5416085489912,205.82798570965,10.8308586769262
"Cell.ID.13110",19,4,0.0176631605808145,0.428541467343927,238.81115773,14.2961890695573,205.47989394,13.5416085489912,205.4909959608,10.7227686190231
"Cell.ID.13111",19,4,-0.00535880774805998,0.427467670841485,238.81115773,14.2961890695573,205.47989394,13.5416085489912,205.2421383241,10.8000935223235
"Cell.ID.13112",19,4,0.0575337500682986,0.434449826706135,238.81115773,14.2961890695573,205.47989394,13.5416085489912,205.93939180725,10.7122585226756
"Cell.ID.13113",19,4,-0.0203212551796149,0.42742933432473,238.81115773,14.2961890695573,205.47989394,13.5416085489912,205.03144840294,11.0997986602009
"Cell.ID.13114",20,4,0.18878158385659,0.412817284003603,240.7103694,14.4212471580204,207.37910561,13.6779501078395,209.25592585497,11.134110772012
"Cell.ID.13115",20,4,0.181377676724188,0.407511258367831,240.7103694,14.4212471580204,207.37910561,13.6779501078395,209.2339713094,11.5592561141526
"Cell.ID.13116",20,4,0.204488864151326,0.422558572754329,240.7103694,14.4212471580204,207.37910561,13.6779501078395,209.43970806381,10.9223463395804
